2026.08.21 - 04:31:39,RAIL_TCP_TIME/0.002,RAILLINE_DIC/0.002,predictPacssOhtCount/0.004,RAIL_OHT_ListCount/0.0,ohtListCount/0.0,RecieveRailLineData/0.021,completedCommandCount/0.0,waitingTranferCommandCount/0.0,commandCount/0.0,RecieveJobData/0.0,OHT_TCP_TIME/0.0,RecieveOHTData/0.014,RecieveSimulationActiveData/0.034
2026.08.21 - 04:31:39,RAIL_TCP_TIME/0.0,RAILLINE_DIC/0.0,predictPacssOhtCount/0.0,RAIL_OHT_ListCount/0.0,ohtListCount/0.0,RecieveRailLineData/0.0,completedCommandCount/0.0,waitingTranferCommandCount/0.0,commandCount/0.0,RecieveJobData/0.0,OHT_TCP_TIME/0.0,RecieveOHTData/0.016,RecieveSimulationActiveData/0.016
2026.08.21 - 04:31:40,RAIL_TCP_TIME/0.0,RAILLINE_DIC/0.004,predictPacssOhtCount/0.003,RAIL_OHT_ListCount/0.003,ohtListCount/0.0,RecieveRailLineData/0.019,completedCommandCount/0.0,waitingTranferCommandCount/0.001,commandCount/0.0,RecieveJobData/0.001,OHT_TCP_TIME/0.0,RecieveOHTData/0.013,RecieveSimulationActiveData/0.034
2026.08.21 - 04:31:40,RAIL_TCP_TIME/0.0,RAILLINE_DIC/0.005,predictPacssOhtCount/0.005,RAIL_OHT_ListCount/0.0,ohtListCount/0.0,RecieveRailLineData/0.015,completedCommandCount/0.0,waitingTranferCommandCount/0.001,commandCount/0.0,RecieveJobData/0.001,OHT_TCP_TIME/0.0,RecieveOHTData/0.012,RecieveSimulationActiveData/0.028
2026.08.21 - 04:31:40,RAIL_TCP_TIME/0.001,RAILLINE_DIC/0.003,predictPacssOhtCount/0.002,RAIL_OHT_ListCount/0.001,ohtListCount/0.001,RecieveRailLineData/0.02,completedCommandCount/0.0,waitingTranferCommandCount/0.0,commandCount/0.0,RecieveJobData/0.0,OHT_TCP_TIME/0.0,RecieveOHTData/0.014,RecieveSimulationActiveData/0.035
2026.08.21 - 04:31:40,RAIL_TCP_TIME/0.001,RAILLINE_DIC/0.003,predictPacssOhtCount/0.0,RAIL_OHT_ListCount/0.0,ohtListCount/0.0,RecieveRailLineData/0.012,completedCommandCount/0.0,waitingTranferCommandCount/0.0,commandCount/0.0,RecieveJobData/0.0,OHT_TCP_TIME/0.0,RecieveOHTData/0.017,RecieveSimulationActiveData/0.029
2026.08.21 - 04:31:41,RAIL_TCP_TIME/0.0,RAILLINE_DIC/0.001,predictPacssOhtCount/0.002,RAIL_OHT_ListCount/0.003,ohtListCount/0.002,RecieveRailLineData/0.378,completedCommandCount/0.0,waitingTranferCommandCount/0.001,commandCount/0.0,RecieveJobData/0.001,OHT_TCP_TIME/0.0,RecieveOHTData/0.013,RecieveSimulationActiveData/0.392
2026.08.21 - 04:31:41,RAIL_TCP_TIME/0.0,RAILLINE_DIC/0.016,predictPacssOhtCount/0.0,RAIL_OHT_ListCount/0.0,ohtListCount/0.0,RecieveRailLineData/0.016,completedCommandCount/0.0,waitingTranferCommandCount/0.0,commandCount/0.0,RecieveJobData/0.0,OHT_TCP_TIME/0.016,RecieveOHTData/0.016,RecieveSimulationActiveData/0.032
2026.08.21 - 04:31:41,RAIL_TCP_TIME/0.0,RAILLINE_DIC/0.004,predictPacssOhtCount/0.003,RAIL_OHT_ListCount/0.002,ohtListCount/0.0,RecieveRailLineData/0.015,completedCommandCount/0.0,waitingTranferCommandCount/0.001,commandCount/0.0,RecieveJobData/0.001,OHT_TCP_TIME/0.0,RecieveOHTData/0.012,RecieveSimulationActiveData/0.028
2026.08.21 - 04:31:41,RAIL_TCP_TIME/0.0,RAILLINE_DIC/0.0,predictPacssOhtCount/0.0,RAIL_OHT_ListCount/0.016,ohtListCount/0.001,RecieveRailLineData/0.017,completedCommandCount/0.0,waitingTranferCommandCount/0.006,commandCount/0.0,RecieveJobData/0.006,OHT_TCP_TIME/0.0,RecieveOHTData/0.014,RecieveSimulationActiveData/0.036
